CH,Name,Source,Mic_DI,Phantom,Mic_mount,Notes
1,Kick,Drum,Mic,No,N/A,
2,Snare_Top,Drum,Mic,No,N/A,
3,Hat,Drum,Mic,No,N/A,
4,Tom1,Drum,Mic,No,N/A,
5,Tom2,Drum,Mic,No,N/A,
6,OH_L,Drum,Mic,Yes,Boom,
7,OH_R,Drum,Mic,Yes,Boom,
8,Bass,Bass,DI,No,N/A,
9,Egtr_L,Gtr,DI_or_Mic,No,N/A,
10,Agtr,Gtr,DI,No,N/A,
11,Keys_L,Keys,DI,No,N/A,
12,Keys_R,Keys,DI,No,N/A,
13,Lvox_Lead,Vocal,Wireless,No,Handheld_or_stand,
14,Vvox_1,Vocal,Wireless,No,Stand,
15,Vvox_2,Vocal,Wireless,No,Stand,
16,SPK_Pastor,Spoken,Wireless,No,Handheld,
17,SPK_Lectern,Spoken,Mic,Yes,Lectern,
18,Playback_L,Tracks,DI,No,N/A,
19,Playback_R,Tracks,DI,No,N/A,
20,Spare,Spare,TBD,TBD,TBD,
